industry,name,max_change,min_change,start,end,amount,turn,change,up_count,down_count
汽车配件,均胜电子,2.84,-2.92,31.0,31.23,424433.5508515815,1.6188647201946471,4.27,199,212
影视音像,光线传媒,0.75,-1.06,12.84,12.86,261652.6722627737,1.0295510948905109,4.25,217,194
元器件,江海股份,1.03,-1.2,11.8,11.97,99147.70693430657,1.639107299270073,4.25,214,197
通信设备,春兴精工,1.28,-1.5,14.71,15.0,735122.6160583941,11.095059610705595,4.23,209,202
石油开采,沃施股份,3.16,-3.93,42.43,42.23,19623.219072681706,0.9648290726817044,4.23,205,194
汽车配件,奥联电子,2.54,-2.6,28.0,27.96,82515.4197323601,6.671146228710462,4.23,221,190
农用机械,一拖股份,1.08,-1.19,11.67,11.87,123363.00374695865,2.8805058394160583,4.23,227,184
软件服务,神州信息,1.55,-1.62,19.25,19.55,285095.9530413625,2.2249890510948904,4.22,220,191
生物制药,中关村,0.97,-0.98,10.68,10.84,128468.15048780487,2.081979512195122,4.21,218,192
软件服务,银之杰,1.93,-2.12,21.0,21.25,312333.599756691,4.832275912408759,4.21,209,202
其他建材,深天地A,1.77,-1.78,20.34,20.43,57407.75841849149,2.8641571776155716,4.2,208,203
钢加工,赛福天,1.18,-1.26,13.2,13.35,27702.892530413625,1.5008442822384427,4.2,208,203
通信设备,大富科技,1.82,-2.02,21.0,20.48,334384.5165450122,3.169890267639903,4.2,217,194
元器件,银河磁体,2.4,-2.47,26.9,26.38,176360.31077858884,4.281101703163017,4.19,212,199
食品,朗源股份,0.75,-0.8200000000000001,9.1,8.27,79366.48888077859,2.770013868613139,4.19,225,186
元器件,国光电器,1.13,-1.28,14.3,14.44,199343.76245742093,5.1130824817518254,4.17,217,194
电气设备,卧龙电驱,1.2,-1.18,15.45,15.25,186936.04355231146,1.362228710462287,4.17,213,198
医药商业,国发股份,0.72,-0.67,9.22,9.33,47880.8676309227,1.7745882793017453,4.17,216,185
仓储物流,圆通速递,1.44,-1.19,17.05,16.98,127051.96107055961,0.668920681265207,4.16,208,203
软件服务,真视通,1.7000000000000002,-1.9,19.42,18.96,64836.224914841856,4.022845498783456,4.15,223,188
铜,金田铜业,2.88,-0.99,12.8,13.1,871822.3710526316,33.37332631578948,4.13,19,19
